acs,species,trt,hyp,int1,int2,int3,int4
LA2204,S. habrochaites,L,30.63,4.41,5.45,9.72,5.94
LA2167,S. habrochaites,L,40.68,2.83,1.92,2.8,3.45
LA1336,S. peruvianum,L,52.9,10.9,10.79,11.34,12.24
LA3795,S. peruvianum,L,38.49,8.04,15.13,9,NA
LA2773,S. chilense,L,30.37,3.33,1.86,5.64,10.02
LA2773,S. chilense,L,42.26,11.55,1.25,12.66,10.85
LA1318,S. chmielewskii,L,30.68,4.47,8.18,5.63,2.97
LA1361,S. habrochaites,L,41.75,6.27,9.14,12.39,16.92
LA1954,S. peruvianum,L,24.12,8.91,6.65,6.55,3.2
LA1474,S. peruvianum,L,50.91,4.66,7.99,6.57,8.26
LA1958,S. chilense,L,37.94,3.69,2.71,3.74,4.61
LA2884,S. chilense,L,37,4.9,1.81,10.15,9.31
LA1306,S. chmielewskii,L,25.38,2.66,0.77,16.23,10.79
LA2663,S. chmielewskii,L,27.87,3.85,7.01,6.04,6.45
LA1363,S. habrochaites,L,26.21,9.8,12.76,9.97,4.04
LA2167,S. habrochaites,L,28.76,3.4,5.28,10.02,9.55
LA1954,S. peruvianum,L,34.66,9.82,7.97,9.5,6.16
LA1969,S. chilense,L,28.05,0.27,0.38,7.04,5.37
LA2891,S. chilense,L,47,10.5,6.51,10.53,6.02
LA1316,S. chmielewskii,L,38.75,1.96,7.67,8.44,6.08
LA2695,S. chmielewskii,L,32.91,4.75,8.14,5.58,6.25
LA2695,S. chmielewskii,L,30.14,2.98,9.88,8.81,7.41
LA2204,S. habrochaites,L,28.78,2.76,0.68,7.61,5.54
LA1361,S. habrochaites,H,33.81,2.39,2.58,5.12,1.7
LA1305,S. peruvianum,H,22.93,2.81,1.86,4.81,1.52
LA1973,S. peruvianum,H,43.67,6.18,5.11,3.5,0.91
LA1317,S. chmielewskii,H,37.01,2.52,8.64,7.12,2.05
LA361,S. habrochaites,H,30.9,8.01,7.07,5.9,3.95
LA2204,S. habrochaites,H,21.62,6.51,5.46,8.08,11.26
LA2167,S. habrochaites,H,28.09,1.62,5.2,7.4,4.9
LA3788,S. pennellii,H,16.76,1.01,0.58,1.17,1.15
LA1336,S. peruvianum,H,25.41,2.31,3.23,4.43,1.56
